11/15/2018,7:00,Cumming,IA,Fireball,15 minutes
11/14/2018,22:30,Warrenton,VA,Oval,2 minutes
11/14/2018,20:38,Cape Coral,FL,Fireball,2 seconds
11/14/2018,20:00,Pittsburgh,PA,Light,20 seconds
11/14/2018,19:30,White Hall,MD,Cigar,5 minutes
11/14/2018,18:45,Oak Point,NY,Formation,40 seconds
11/14/2018,18:40,Lisbon,NY,Flash,20 seconds
11/14/2018,17:20,Ventura,CA,Sphere,45 seconds
11/14/2018,16:00,Las Vegas,NV,Formation,11 seconds
11/14/2018,14:55,Coppers Cove,TX,Oval,30 seconds
11/14/2018,8:30,Wasilla,AK,Circle,10 minutes
11/14/2018,6:20,Sacramento,CA,Sphere,28 minutes
11/14/2018,5:55,Montclair,NJ,Sphere,20 minutes
11/14/2018,5:00,Redfield,IA,Light,15 seconds
11/14/2018,4:45,Walden,CO,Light,1 hour
11/14/2018,3:44,Reno,NV,Circle,1 minute
11/13/2018,16:00,Kaufman,TX,Circle,5 minutes
11/13/2018,0:00,Woodstock,ME,Other,10 minutes
11/12/2018,19:40,Anaheim,CA,Other,2 minutes
11/12/2018,19:30,Phoenix,AZ,Cigar,5 seconds
11/12/2018,19:00,Gunnison,CO,Rectangle,1 hour
11/12/2018,18:10,San Angelo,TX,Sphere,15 minutes
11/12/2018,6:00,Woodstock,NY,Light,8 minutes
11/12/2018,0:00,Gulf of Mexico,FL,Changing,5 seconds
11/11/2018,20:50,San Antonio,TX,Flash,3 minutes
11/11/2018,20:00,Charlottesville,VA,Other,13 minutes
11/11/2018,19:30,Cutchogue,NY,Light,5 seconds
11/11/2018,10:00,Abilene,KS,Rectangle,10 minutes
11/11/2018,4:00,Fernley,NV,Triangle,2 minutes
11/10/2018,18:35,Salem,OR,Disk,10 minutes
11/10/2018,14:00,Millcreek,UT,Fireball,5 minutes
11/10/2018,6:03,New York City,NY,Changing,1 hour
11/9/2018,21:00,Dickinson,ND,Chevron,10 seconds
11/9/2018,19:50,Monroe,WA,Fireball,15 seconds
11/9/2018,16:00,Bushwick,NY,Changing,3 hours
11/9/2018,6:00,New York City,NY,Changing,1 hour
11/9/2018,5:00,Belfield,ND,Changing,40 minutes
11/8/2018,21:45,Columbus,OH,Light,10 minutes
11/8/2018,21:00,Palm Bay,FL,Formation,20 minutes
11/8/2018,21:00,Salisbury,NB,Light,5 minutes
11/8/2018,21:00,Hacienda Heights,CA,Light,3 seconds
11/8/2018,19:35,Tucson,AZ,Light,4 minutes
11/8/2018,19:30,Apex,NC,Diamond,20 seconds
